Run		LEBT Current [nA]		LEBT Intensity [pps]		[enA]	Brho [Tm]				Beam Dump		F1 slit [mm]				F2 up slit [mm]				F2 down slit [mm]				F3 up slit [mm]				F3 down slit [mm]			
No.	Attenuator	Peak	Average	Peak	Average	Collimator	D1	D2	F2F3	d/R	L	R	xL	xR	yU	yD	xL	xR	yU	yD	xL	xR	yU	yD	xL	xR	yU	yD	xL	xR	yU	yD
1	-2						1.33	1.2982	1.2876	0.075			164	160	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
2	-2						1.33	1.2982	1.2876	0.075			164	160	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
3	-2						1.33	1.2982	1.2876	0.075			164	160	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
4	-2						1.33	1.2982	1.2876	0.075			164	160	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
5	-2																															
6	-2						1.33	1.2982	1.2876	0.075			164	160	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
7	-2						1.33	1.2982	1.2876	0.075			164	160	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
8	-2						1.33	1.2982	1.2876	0.075			164	160	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
9	-2						1.33	1.2982	1.2876	0.075			164	160	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
10	-2						1.33	1.2982	1.2876	0.075			164	160	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
11	-2						1.33	1.2982	1.2876	0.075			164	160	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
12	-2						1.33	1.2982	1.2876	0.075			164	160	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
13	-2						1.33	1.2982	1.2876	0.075			164	160	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
14	-2						1.33	1.2982	1.2876	0.075			164	160	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
15	-2						1.33	1.2982	1.2876	0.075			164	160	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
16	-2																															
17	-2						1.3676	1.3553	1.3513	0.031			164	160	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
18	-2						1.3676	1.3553	1.3513	0.031			164	160	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
19	-2						1.3676	1.356	1.3513	0.031			164	160	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
