Run	Description	Time				Target	Brho [Tm]				F1 slit [mm]				F2 up slit [mm]				F2 down slit [mm]				F3 up slit [mm]				F3 down slit [mm]				
No.		Day	Start	End	run time		D1	D2	F2F3	d/R	xL	xR	yU	yD	xL	xR	yU	yD	xL	xR	yU	yD	xL	xR	yU	yD	xL	xR	yU	yD	Comments
1	Example	2024.05.29	19:43:00	19:44:00	0:01:00																										
56	Sigma x 1.2, y 1.4	2024.06.20					2.92705				190	190	85	85																	F1 up position :25 mm
57	Plastic out, F1 up and down in	2024.06.20	11:25:00	11:32:00	0:07:00		2.92705				190	190	85	85																	F1 up 24.9 mm. F1 down 23.9
58	same setup	2024.06.20	11:34:00	11:37:00	0:03:00		2.92705				190	190	85	85																	Brho to distance ratio / 1% = 41.2 mm
59	Beam go to F1 center	2024.06.20	11:39:00	11:44:00	0:05:00		2.9446				190	190	85	85																	almost center
60	keep going	2024.06.20	11:47:00	12:01:00	0:14:00		2.9446				190	190	85	85																	almost center
61	Checking alinmnet	2024.06.20	12:05:00	12:07:00	0:02:00		2.9446				2	190	85	85																	
62	keep going	2024.06.20	12:09:00	12:22:00	0:13:00		2.9446				2	190	85	85																	up shift ~ 1.5 mm down shift ~3 mm
63	Change F1 slit position	2024.06.20	12:25:00	12:26:00	0:01:00		2.9446				0	0	85	85																	
64	keep going	2024.06.20	12:29:00	12:33:00	0:04:00		2.9446				0	0	85	85																	offset value 1.3 and 2.4 Change the code and recompile
65	Check center again	2024.06.20	12:39:00				2.9446				190	190	85	85																	
66																															
67	D2 Brho change	2024.06.20	13:10:00	13:22:00	0:12:00		2.9446	2.994461 -> 2.94322			190	190	85	85	49	49	49	49	49	42	45	45									
68	F2 PPAC alinement	2024.06.20	13:30:00	13:33:00	0:03:00		2.9446	2.94322							1	1	1	1	1	1	1	1									Upoff set -1.1
69	F2 down PPAC check	2024.06.20					2.9446	2.94322							45	45	45	45	1	1	1	1									During run up PPAC move / JUNK
70	F2 Down PPAC check / 3HZ	2024.06.20	13:42:00	13:48:00	0:06:00		2.9446	2.94322							45	45	45	45	1	1	1	1									
71	F2 PPAC up / checking Beam angle	2024.06.20	13:52:00	13:55:00	0:03:00		2.9446	2.94322							45	45	45	45	45	45	45	45									
72	Keep going	2024.06.20	14:01:00	14:10:00	0:09:00		2.9446	2.943 -> 2.9435							45	45	45	45	45	45	45	45									during run D2 2.943 -> 2.9435 -> 2.942
73	Get data D2 Brho=2.942	2024.06.20	14:13:00	14:15:00	0:02:00		2.9446	2.942							45	45	45	45	45	45	45	45									
74	F3 Checking/ F2 PPAC out / F3 PPAC in	2024.06.20	14:18:00	14:18:00	0:00:00		2.9446	2.942															45	45	45	45	45	45	45	45	
75	keep going	2024.06.20	14:22:00	14:24:00	0:02:00		2.9446	2.942															45	45	45	45	45	45	45	45	
76	F3 aliment	2024.06.20	14:24:00	14:30:00	0:06:00		2.9446	2.942															1	1	1	1	1	1	1	1	F3 up PPAC offset checking
77	F3 up PPAC down	2024.06.20	14:34:00	14:34:00	0:00:00		2.9446	2.942															45	45	45	45	1	1	1	1	could not see any signal
78	F3 down slit open more	2024.06.20	14:36:00				2.9446	2.942															45	45	45	45	2	2	2	2	Slit change during run
79	JUNK F3 UP PPAC not ready																														
80	F3 Checking. open all slit	2024.06.20	14:51:00	14:55:00	0:04:00		2.9446	2.942															45	45	45	45	45	45	45	45	
81	D2 Brho change 	2024.06.20	14:58:00	15:04:00	0:06:00		2.9446	2.9435															45	45	45	45	45	45	45	45	Change D2 Brho during run 2.936 --> 2.915
82	F2 PPAC in 	2024.06.20	15:06:00	15:20:00	0:14:00		2.9446	2.94461																							during un F1 PPAC in and out
83	F2 Beam position check	2024.06.20	15:22:00	15:34:00	0:12:00																										
84	F2 PPAC off / F3 PPAC check	2024.06.20	15:40:00	15:52:00	0:12:00		2.9446	2.94461																							Aliment checking / F3 angle ~6 mrad
85	F1 up PPAC in	2024.06.20	16:56:00	16:57:00	0:01:00						190	190	85	85																	D1 Magnet not ready
86	D1 Magnet ready	2024.06.20		17:17:00			1.142702				190	190	85	85																	
87	keep going	2024.06.20	17:19:00	17:24:00	0:05:00		1.142702				190	190	85	85																	
88	Increase D1 Brho	2024.06.20	17:27:00	17:29:00	0:02:00		1.188408				190	190	85	85																	
89	Keep going	2024.06.20	17:29:00	17:38:00	0:09:00		1.188408																								Optics some problem
90	Modifiy Optics parameter	2024.06.20	17:38:00	17:40:00	0:02:00		1.188408																								
91	keep goin 	2024.06.20	17:43:00	17:46:00	0:03:00		1.188408																								
																															
92	test run / F1 degrader in	2024.06.21																													
93	F1 PPACs in	2024.06.21	10:21:00				2.94461	2.94461			190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	during run magnet Brho changing....
94	F1 PPACs out	2024.06.21	10:39:00	10:39:00	0:00:00		2.94461	2.94461			190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	
95	keep going	2024.06.21	10:43:00	10:44:00	0:01:00		2.94461	2.94461			190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	
96	Thickness measurement/ F1 PPAC in	2024.06.21	10:47:00	10:58:00	0:11:00		2.94461																								during run Change D2
97	D2 almost down	2024.06.21	11:00:00	11:18:00	0:18:00		2.94461	1.2281			190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	during brho changing run stop
99	D2 = 1.284	2024.06.21	11:18:00	11:24:00	0:06:00		2.94461	1.284			190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	
100	D2 changing/ JUNK	2024.06.21	11:25:00	11:27:00	0:02:00		2.94461	1.21																							JUNK run D2 chaning for find 40Ar 18_
101	D2 setvalue 1.21	2024.06.21	11:27:00	11:27:00	0:00:00		2.94461	1.21			190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	
102	Keep going1.21	2024.06.21	11:28:00	11:39:00	0:11:00		2.94461	1.212			190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	
103	Going to F3	2024.06.21	11:42:00	11:48:00	0:06:00		2.94461	1.212	1.169474																						
104	Changing Brho b/w F2F3	2024.06.21	11:49:00	11:50:00	0:01:00		2.94461	1.212	1.164																						
105	Keep going	2024.06.21	11:51:00	11:55:00	0:04:00		2.94461	1.212	1.164																						
106	F2F3 Brho changing 	2024.06.21	11:55:00	11:57:00	0:02:00		2.94461	1.212	1.174																						
107	keepgoing	2024.06.21	11:58:00	12:02:00	0:04:00		2.94461	1.212	1.174																						
108	Scale factor tuning	2024.06.21	12:02:00	12:05:00	0:03:00		2.94461	1.212	1.174																						
109	Scale factor tuning from F1	2024.06.21	12:09:00	12:10:00	0:01:00		2.94461	1.212	1.174																						JUNK
110	Keepgoing scale factor tuning	2024.06.21	12:10:00	12:14:00	0:04:00		2.94461	1.212	1.174																						
111	JUNK																														
112	F2 Brho setup	2024.06.21	12:19:00	12:27:00	0:08:00				1.17443																						
113	F2 Brho setup	2024.06.21	12:30:00						1.18																						
114	F2 Brho setup	2024.06.21							1.18																						
115	F2 Brho setup	2024.06.21							1.18																						
116	F2/F3 Brho setup	2024.06.21		12:41:00					1.18																						
117	F2/F3 Brho setup	2024.06.21	12:45:00	13:05:00	0:20:00				1.181																						F2/F3 Brho 1.18 is best vlaue
118	D/R value optimazation	2024.06.21	13:06:00						1.18																						D/R value 0.18 is the best value
119	F1 PPAC Down removed, F2 PPAC Up removed	lunch time																													
120	junk																														
121	junk																														
122	1sec beam, High intensity beam . for Secondary beam	2024.06.21	14:22:00	14:22:00	0:00:00		2.4113	2.4057	2.3974		o	p	e	n	a	l	l														
123	High intensity beam	2024.06.21	14:31:00				2.4113	2.4057	2.3974																						
124	HV setup	2024.06.21					2.4113	2.4057	2.3974																						
125	HV setup	2024.06.21		14:54:00			2.4113	2.4057	2.3974																						
126	F1 Down PPAC on but not HV	2024.06.21	14:58:00	15:06:00	0:08:00		2.411	2.4001	2.3917																						
127	Brho change	2024.06.21	15:20:00	15:23:00	0:03:00		1.5785	1.5682	1.5604																						
128	keep going	2024.06.21	15:24:00	15:38:00	0:14:00		1.5787	1.5683	1.5605																						
129	Brho tuning more accurate value	2024.06.21	15:40:00	15:47:00	0:07:00		1.5787	1.5683	1.5605																						
130	Accumulate run	2024.06.21	15:49:00	15:57:00	0:08:00		1.5787	1.5683	1.5605																						
131	Accumulate run	2024.06.21	16:01:00	16:02:00	0:01:00																										To check 7Li and 4He gate
132	after coding for gates (7Li and 4He)	2024.06.21	16:04:00	16:07:00	0:03:00																										
133	after debuging	2024.06.21	16:07:00	16:13:00	0:06:00																										
134	Accumulate run	2024.06.21	16:14:00	16:20:00	0:06:00																										
135	Accumulate run	2024.06.21	16:22:00	16:26:00	0:04:00																										
136	Accumulate run	2024.06.21	16:28:00	16:39:00	0:11:00																										
137	Accumulate run	2024.06.21	16:40:00	16:51:00	0:11:00		1.5787	1.5683	1.5605																						
138	Accumulate run	2024.06.21	16:53	17:05:00	0:12:00																										
139	Accumulate run	2024.06.21	17:08	17:17	0:09		1.5787	1.5683	1.5605																						
140	Accumulate run	2024.06.21	17:20:00	17:22:00	0:02:00		1.5787	1.5683	1.5605																						
																															
141	testing during run	2024.06.24	11:44:00	11:53:00	0:09:00		1.5787	1.5683	1.5605		190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	
142	testing during run	2024.06.24	11:54:00	12:08:00	0:14:00		1.5787 --> 1.5155	1.5683	1.5605																						
143		2024.06.24	12:10:00				1.5155	1.504	1.4953																						
144	Tuning run	2024.6.24	12:24:00	12:35:00	0:11:00		1.5155	1.504	1.4953																						
																															
146	F1 degrader in	2024.6.24	12:51:00																												
147	F1 Slit change	2024.6.24	13:05:00	13:14:00	0:09:00		1.5155	1.459	1.4496		2	190	85	85																	
148		2024.6.24	13:17:00	13:31:00	0:14:00		1.5155	1.459	1.4496																						
	lunch time																														
158	40AR18_ optimization	2024.06.24					1.1546	1.0321	0.9189																						
160	Back to 7Li	2024.06.24	15:34:00				1.5155	1.5683	1.5605																						
161	F2 plastic change	2024.06.24	15:47:00																												
162							1.5761	1.5683																							
163	F3	2024.06.24	16:12:00				1.5761	1.5683																							
																															
																															
																															
168	Beamdump Left 2mm	2024.06.24	16:41:00				1.5131	1.5056	1.4969																						
169	Trigger scheme change F2-F3 plastic and	2024.06.24	16:59:00				1.5131	1.5056	1.4969																						
170	Good run	2024.06.24					1.5787	1.5683	1.5605																						
171	Good run																														
173																															
																															
181	START	2024.06.25	11:32:00				1.5787	1.5683	1.5605		190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	
182	HV change	2024.06.25	11:37:00	11:39:00	0:02:00		1.5787	1.5683	1.5605																						
183	HV change	2024.06.25																													
184	PPAC HV change	2024.06.25	11:46:00																												
185	short run																														
186	short run																														
187	short run																														
188	short run																														
189	short run																														
190	Recompile	2024.06.25	12:13:00																												
191																															
192	Recompile	2024.06.25	12:26:00																												
193	Recompile	2024.06.25	12:27:00	12:37:00	0:10:00																										
194	Recompile, digitizer th 200	2024.06.25	13:07:00	13:20:00	0:13:00																										
