run,ts,ppac,ppac_rate,f2pl,f2pl_rate,f3pl,f3pl_rate,hwtriga,hwtriga_rate,hwtrigb,hwtrigb_rate,refp,refp_rate,reft,reft_rate,livetime
223,555.9659237,1722301,3097.853531,20,0.03597342777,617,1.109780247,2737,4.92296359,2820,5.072253316,0,0,556,1.000061292,0.9705673759
224,444.4530239,1397599,3144.537048,20,0.04499913134,501,1.12722824,2154,4.846406446,2232,5.021903058,0,0,444,0.9989807159,0.9650537634
225,51.90880436,145403,2801.124044,2,0.03852910936,46,0.8861695153,230,4.430847577,234,4.507905795,0,0,52,1.001756843,0.9829059829
226,1001.9243,3235930,3229.715058,32,0.03193854065,1093,1.090900779,4973,4.963448834,5155,5.145099284,0,0,1002,1.000075554,0.9646944714
251,171.644824,215518,1255.60442,4,0.02330394,394,2.29543769,1532,8.92540748,1618,9.4264421,0,0,171,0.99624326,0.9468479604
252,964.127241,1135702,1177.95863,30,0.03111622,1948,2.0204802,7738,8.02591159,8175,8.47917126,0,0,964,0.99986802,0.9465443425
253,581.737077,699110,1201.76284,20,0.03437979,1213,2.08513441,4918,8.45399097,5162,8.87342444,0,0,582,1.00045196,0.9527314994
254,905.699251,1268858,1400.97057,26,0.0287071,2029,2.24025801,8468,9.34968202,8965,9.89842929,0,0,905,0.99922794,0.9445621863
259,383.490358,201055,524.276545,6,0.01564576,380,0.99089845,1414,3.68718527,1450,3.78105986,0,0,384,1.00132896,0.9751724138
260,711.229681,371380,522.166059,28,0.03936844,607,0.85345145,2492,3.50379078,2537,3.56706148,0,0,711,0.99967706,0.9822625148
261,1198.72363,603245,503.239431,38,0.03170038,1047,0.87342901,4310,3.59549097,4397,3.66806816,0,0,1199,1.00023055,0.9802137821
262,506.837137,265263,523.369305,12,0.02367624,488,0.96283394,1801,3.5534097,1840,3.6303575,0,0,507,1.00032133,0.9788043478
263,531.00926,269790,508.070236,18,0.03389771,493,0.92842072,1919,3.61387295,1969,3.70803327,0,0,531,0.99998256,0.9746063992
264,879.077653,441385,502.100126,30,0.03412668,775,0.88160585,2984,3.39446691,3045,3.46385782,0,0,879,0.99991167,0.9799671593
265,204.669178,103620,506.280434,4,0.01954373,200,0.97718671,695,3.39572381,717,3.50321435,0,0,205,1.00161638,0.9693165969
266,489.384333,248011,506.78165,18,0.03678091,454,0.92769623,1703,3.47988255,1734,3.54322744,0,0,490,1.00125804,0.9821222607
267,746.380967,374189,501.33781,20,0.02679597,655,0.87756793,2458,3.29322438,2510,3.3628939,0,0,746,0.99948958,0.9792828685
271,212.893246,133302,626.144804,16,0.07515504,272,1.27763565,893,4.19459056,917,4.30732311,0,0,213,1.00050144,0.973827699
272,169.995486,100423,590.739214,8,0.04706007,180,1.05885164,644,3.78833588,662,3.89422104,0,0,170,1.00002655,0.9728096677
273,129.549989,73286,565.696691,6,0.04631417,107,0.825936,476,3.67425736,486,3.75144764,0,0,129,0.99575462,0.9794238683
274,186.247941,104861,563.018304,6,0.03221512,177,0.95034608,752,4.03762853,768,4.12353552,0,0,186,0.99866876,0.9791666667
275,393.838904,217408,552.022662,12,0.03046931,381,0.96740062,1473,3.74010791,1497,3.80104653,0,0,394,1.00040904,0.9839679359
276,594.436244,318970,536.592449,22,0.03700986,558,0.93870454,2236,3.76154722,2278,3.8322024,0,0,594,0.99926612,0.9815627744
277,418.189932,218227,521.837049,18,0.04304264,380,0.90867802,1467,3.50797541,1490,3.56297434,0,0,418,0.99954582,0.9845637584
278,546.43679,296256,542.159689,20,0.03660076,480,0.87841816,1967,3.59968442,2008,3.67471597,0,0,546,0.99920066,0.9795816733
279,111.146894,59712,537.234984,0,0,115,1.03466679,409,3.67981492,423,3.80577436,0,0,111,0.99867838,0.9669030733
280,154.243308,85323,553.171488,6,0.03889958,149,0.96600625,541,3.50744553,551,3.57227816,0,0,155,1.00490584,0.9818511797
281,124.393194,64966,522.2633,0,0,117,0.94056593,416,3.34423441,433,3.48089784,0,0,124,0.9968391,0.96073903
282,53.9028778,28206,523.274474,4,0.07420754,57,1.05745746,207,3.84024024,212,3.93299966,0,0,54,1.0018018,0.9764150943
283,153.129934,80892,528.257264,8,0.05224321,149,0.97302987,553,3.6113122,566,3.69620743,0,0,153,0.99915148,0.9770318021
284,177.644849,90901,511.700737,6,0.03377525,162,0.91193188,605,3.40567151,616,3.46759281,0,0,178,1.00199922,0.9821428571
285,751.231339,388512,517.166923,20,0.02662296,707,0.94112155,2622,3.49026973,2687,3.57679434,0,0,751,0.99969205,0.9758094529
286,77.248794,38475,498.066028,8,0.10356149,62,0.80260153,280,3.62465206,292,3.77999429,0,0,77,0.99677932,0.9589041096
287,70.1027616,33065,471.664728,2,0.02852955,58,0.82735685,204,2.91001375,206,2.93854329,0,0,71,1.0127989,0.9902912621
288,4.64984683,2363,508.188783,0,0,4,0.86024339,15,3.22591271,15,3.22591271,0,0,5,1.07530424,1
289,828.925424,419953,506.62338,18,0.02171486,739,0.89151566,2871,3.46352026,2938,3.5443478,0,0,829,1.00008997,0.977195371
290,692.978146,347935,502.08654,16,0.02308875,639,0.922107,2469,3.56288292,2536,3.65956706,0,0,693,1.00003154,0.9735804416
291,94.4467422,45819,485.13055,6,0.06352787,78,0.82586226,331,3.50462062,338,3.57873646,0,0,94,0.9952699,0.9792899408
292,213.398175,110120,516.030656,14,0.06560506,185,0.866924,698,3.27088084,717,3.35991627,0,0,213,0.99813412,0.9735006974
