run, ts, ppac, f2pl, f3pl, hwtriga, hwtrigb, refp, reft
507, 17398178218, 1771929, 0, 2924, 0, 17901, 1, 40622
507, 17398227723, 1772000, 0, 2924, 1, 17902, 0, 40622
507, 17402782112, 1772092, 0, 2924, 2, 17903, 0, 40622
507, 17402801717, 1772131, 0, 2924, 3, 17904, 0, 40622
507, 17402870258, 1772284, 0, 2924, 4, 17907, 0, 40622
507, 17402912084, 1772372, 0, 2924, 5, 17908, 0, 40622
507, 17402977334, 1772493, 0, 2925, 6, 17911, 0, 40622
507, 17403013386, 1772555, 0, 2925, 7, 17912, 0, 40622
507, 17403152404, 1772770, 0, 2926, 8, 17913, 0, 40622
507, 17403245394, 1772947, 0, 2926, 9, 17916, 0, 40622
507, 17407767343, 1772992, 0, 2926, 10, 17917, 0, 40622
507, 17407896899, 1773259, 0, 2926, 11, 17918, 0, 40622
507, 17408012525, 1773467, 0, 2928, 12, 17921, 0, 40622
507, 17408071602, 1773561, 0, 2928, 13, 17923, 0, 40622
507, 17412754534, 1773876, 0, 2929, 14, 17925, 0, 40622
507, 17412841479, 1774077, 0, 2929, 15, 17927, 0, 40622
507, 17413095501, 1774502, 0, 2931, 16, 17929, 0, 40622
507, 17413220868, 1774748, 0, 2932, 17, 17932, 0, 40622
507, 17417828608, 1774961, 0, 2932, 18, 17934, 0, 40623
507, 17417916994, 1775120, 0, 2932, 19, 17936, 0, 40623
507, 17418019177, 1775294, 0, 2932, 20, 17937, 0, 40623
507, 17418146525, 1775480, 0, 2932, 21, 17938, 0, 40623
507, 17422820463, 1775801, 0, 2932, 22, 17940, 0, 40623
507, 17422926661, 1776007, 0, 2932, 23, 17942, 0, 40623
507, 17423008704, 1776133, 0, 2934, 24, 17944, 0, 40623
507, 17427761879, 1776569, 0, 2935, 25, 17946, 0, 40623
507, 17427853441, 1776772, 0, 2935, 26, 17948, 0, 40623
507, 17427908818, 1776873, 0, 2936, 27, 17950, 0, 40623
507, 17427963932, 1776974, 0, 2936, 28, 17953, 0, 40623
507, 17428027305, 1777065, 0, 2936, 29, 17954, 0, 40623
507, 17428186026, 1777326, 0, 2937, 30, 17956, 0, 40623
507, 17432793877, 1777524, 0, 2937, 31, 17957, 0, 40623
507, 17432887782, 1777711, 0, 2937, 32, 17960, 0, 40623
507, 17432973008, 1777882, 0, 2937, 33, 17962, 0, 40623
507, 17433044131, 1777990, 0, 2937, 34, 17963, 0, 40623
507, 17434675161, 1778369, 0, 2937, 35, 17966, 0, 40623
507, 17437793748, 1778465, 0, 2937, 36, 17966, 1, 40623
507, 17438037238, 1778931, 0, 2937, 37, 17968, 0, 40623
507, 17438195030, 1779213, 0, 2937, 38, 17969, 0, 40623
507, 17442775814, 1779377, 0, 2937, 39, 17971, 0, 40623
507, 17442949633, 1779718, 0, 2938, 40, 17974, 0, 40623
507, 17443031769, 1779836, 0, 2939, 41, 17978, 0, 40623
507, 17443092080, 1779928, 0, 2939, 42, 17979, 0, 40623
507, 17443150470, 1780035, 0, 2939, 43, 17982, 0, 40623
