run_number,start_time,stop_time,LEBT_mean,LEBT_integral
1,2024-07-09 09:57:49,2024-07-09 10:07:52,4.406564185228928e-05,0.026571582036930438
2,2024-07-09 10:07:59,2024-07-09 10:14:25,4.289459090947873e-05,0.01655731209105879
3,2024-07-09 10:16:21,2024-07-09 10:28:40,4.2527418371635094e-05,0.031427762176638334
4,2024-07-09 10:30:53,2024-07-09 10:55:40,4.295989656063991e-05,0.06388136618567154
6,2024-07-09 10:58:36,2024-07-09 11:02:03,4.306464445343461e-05,0.008914381401860964
7,2024-07-09 11:03:39,2024-07-09 11:05:53,4.06747994607431e-05,0.005450423127739575
8,2024-07-09 11:07:43,2024-07-09 11:16:38,4.1979452257621746e-05,0.022459006957827633
9,2024-07-09 11:20:32,2024-07-09 11:28:05,4.181741870044224e-05,0.018943290671300336
10,2024-07-09 11:30:02,2024-07-09 11:30:18,1.941368880663779e-05,0.00031061902090620465
11,2024-07-09 11:32:04,2024-07-09 11:36:37,4.1196445975507395e-05,0.01124662975131352
12,2024-07-09 11:37:06,2024-07-09 11:37:22,6.522841894749731e-06,0.0001043654703159957
13,2024-07-09 11:38:26,2024-07-09 11:39:06,3.242727629714791e-05,0.0012970910518859164
14,2024-07-09 11:40:21,2024-07-09 11:45:49,4.261651612232733e-05,0.013978217288123365
15,2024-07-09 11:47:40,2024-07-09 11:53:08,4.2431652640647506e-05,0.013917582066132382
16,2024-07-09 11:55:23,2024-07-09 11:56:08,4.231713238072801e-05,0.0019042709571327604
17,2024-07-09 11:56:32,2024-07-09 11:59:48,1.9020008941690156e-05,0.0037279217525712704
18,2024-07-09 12:02:17,2024-07-09 12:07:55,4.234342682825451e-05,0.014312078267950024
19,2024-07-09 12:08:24,2024-07-09 12:09:48,3.7012640110834195e-05,0.0031090617693100724
20,2024-07-09 12:11:58,2024-07-09 12:13:19,4.2215096603262236e-05,0.0034194228248642412
21,2024-07-09 12:13:43,2024-07-09 12:18:13,4.213213513108589e-05,0.01137567648539319
22,2024-07-09 12:19:26,2024-07-09 12:21:46,4.214504439475191e-05,0.0059003062152652675
23,2024-07-09 12:23:54,2024-07-09 12:27:14,4.230822901897549e-05,0.008461645803795098
