# 에러 (Error) 표
Spot,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6
Spot 1,11.80,15.30,11.80,9.23,16.60,4.44
Spot 2,15.20,17.00,30.10,14.10,7.35,16.00
Spot 3,13.90,12.60,14.90,11.00,9.31,6.56
Spot 4,18.10,11.20,14.40,13.70,10.50,6.25
Spot 5,11.00,9.96,10.40,7.26,9.93,8.38
Spot 6,18.50,9.49,15.80,17.80,8.40,5.88
Spot 7,12.30,8.46,8.38,10.20,23.70,6.34
Spot 8,7.59,12.10,9.97,7.95,6.81,11.10
Spot 9,10.40,13.90,20.40,14.20,13.80,8.29
Spot 10,14.20,10.30,12.70,20.10,13.70,12.80
Spot 11,9.12,15.60,10.30,12.70,16.30,18.10
Spot 12,6.76,9.82,14.80,9.58,10.20,32.90
Spot 13,12.00,5.80,10.10,7.62,15.00,3.89
Spot 14,7.49,3.92,9.88,10.30,9.92,6.53
Spot 15,15.20,19.20,10.80,24.50,7.68,5.73
Spot 16,11.70,8.81,10.30,7.67,10.70,8.62
Spot 17,,10.00,6.61,2.83,15.60,8.68
Spot 18,,10.40,7.61,7.69,9.13,6.72
Spot 19,,,4.34,11.20,10.30,12.90
Spot 20,,,14.20,15.00,14.70,17.00
