run_number,start_time,stop_time,elapsed_sec
00001,Tue Jul  9 09:57:49 2024,Tue Jul  9 10:07:52 2024,603
00002,Tue Jul  9 10:07:59 2024,Tue Jul  9 10:14:25 2024,386
00003,Tue Jul  9 10:16:21 2024,Tue Jul  9 10:28:40 2024,739
00004,Tue Jul  9 10:30:53 2024,Tue Jul  9 10:55:40 2024,1487
00006,Tue Jul  9 10:58:36 2024,Tue Jul  9 11:02:03 2024,207
00007,Tue Jul  9 11:03:39 2024,Tue Jul  9 11:05:53 2024,134
00008,Tue Jul  9 11:07:43 2024,Tue Jul  9 11:16:38 2024,535
00009,Tue Jul  9 11:20:32 2024,Tue Jul  9 11:28:05 2024,453
00010,Tue Jul  9 11:30:02 2024,Tue Jul  9 11:30:18 2024,16
00011,Tue Jul  9 11:32:04 2024,Tue Jul  9 11:36:37 2024,273
00012,Tue Jul  9 11:37:06 2024,Tue Jul  9 11:37:22 2024,16
00013,Tue Jul  9 11:38:26 2024,Tue Jul  9 11:39:06 2024,40
00014,Tue Jul  9 11:40:21 2024,Tue Jul  9 11:45:49 2024,328
00015,Tue Jul  9 11:47:40 2024,Tue Jul  9 11:53:08 2024,328
00016,Tue Jul  9 11:55:23 2024,Tue Jul  9 11:56:08 2024,45
00017,Tue Jul  9 11:56:32 2024,Tue Jul  9 11:59:48 2024,196
00018,Tue Jul  9 12:02:17 2024,Tue Jul  9 12:07:55 2024,338
00019,Tue Jul  9 12:08:24 2024,Tue Jul  9 12:09:48 2024,84
00020,Tue Jul  9 12:11:58 2024,Tue Jul  9 12:13:19 2024,81
00021,Tue Jul  9 12:13:43 2024,Tue Jul  9 12:18:13 2024,270
00022,Tue Jul  9 12:19:26 2024,Tue Jul  9 12:21:46 2024,140
00023,Tue Jul  9 12:23:54 2024,Tue Jul  9 12:27:14 2024,200
00024,Tue Jul  9 12:30:43 2024,Tue Jul  9 12:32:03 2024,80
00025,Tue Jul  9 12:32:53 2024,Tue Jul  9 12:33:57 2024,64
00026,Tue Jul  9 12:34:41 2024,Tue Jul  9 12:35:23 2024,42
00027,Tue Jul  9 12:37:15 2024,Tue Jul  9 12:44:17 2024,422
00028,Tue Jul  9 12:45:33 2024,Tue Jul  9 12:47:31 2024,118
00029,Tue Jul  9 12:49:16 2024,Tue Jul  9 12:53:42 2024,266
00030,Tue Jul  9 12:54:20 2024,Tue Jul  9 12:55:20 2024,60
00031,Tue Jul  9 13:04:56 2024,Tue Jul  9 13:05:31 2024,35
00032,Tue Jul  9 13:07:31 2024,Tue Jul  9 13:08:58 2024,87
00033,Tue Jul  9 13:11:17 2024,Tue Jul  9 13:18:03 2024,406
00034,Tue Jul  9 13:18:58 2024,Tue Jul  9 13:21:22 2024,144
00035,Tue Jul  9 13:23:08 2024,Tue Jul  9 13:31:26 2024,498
00036,Tue Jul  9 13:31:37 2024,Tue Jul  9 13:33:26 2024,109
00037,Tue Jul  9 13:36:03 2024,Tue Jul  9 13:41:54 2024,351
00038,Tue Jul  9 13:42:39 2024,Tue Jul  9 13:46:23 2024,224
00039,Tue Jul  9 13:48:13 2024,Tue Jul  9 13:49:17 2024,64
00040,Tue Jul  9 13:49:37 2024,Tue Jul  9 13:52:05 2024,148
00041,Tue Jul  9 13:52:56 2024,Tue Jul  9 13:54:37 2024,101
00042,Tue Jul  9 13:55:12 2024,Tue Jul  9 13:57:15 2024,123
00043,Tue Jul  9 13:57:51 2024,Tue Jul  9 13:59:03 2024,72
00044,Tue Jul  9 13:59:41 2024,Tue Jul  9 14:00:51 2024,70
00045,Tue Jul  9 14:01:27 2024,Tue Jul  9 14:02:20 2024,53
00046,Tue Jul  9 14:04:40 2024,Tue Jul  9 14:20:42 2024,962
00047,Tue Jul  9 14:23:46 2024,Tue Jul  9 14:25:08 2024,82
00048,Tue Jul  9 14:25:59 2024,Tue Jul  9 14:29:51 2024,232
00049,Tue Jul  9 14:32:07 2024,Tue Jul  9 14:39:06 2024,419
