# 값 (Value) 표
Spot,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6
Spot 1,124.80,131.10,142.60,169.11,153.80,150.46
Spot 2,97.20,177.60,166.10,157.60,165.01,140.80
Spot 3,147.20,168.80,160.70,167.20,152.74,132.82
Spot 4,147.50,181.60,166.00,163.70,173.70,137.42
Spot 5,163.10,188.22,172.20,158.53,160.44,148.30
Spot 6,138.50,151.58,166.40,176.40,158.60,159.14
Spot 7,180.00,156.81,168.46,183.10,197.00,138.69
Spot 8,201.28,155.10,176.66,190.14,184.22,133.20
Spot 9,151.70,188.80,175.60,173.60,176.80,139.16
Spot 10,171.40,163.10,173.80,195.20,175.80,150.60
Spot 11,177.03,142.40,166.40,182.00,181.80,116.50
Spot 12,160.15,172.52,152.30,173.44,169.00,127.70
Spot 13,149.20,154.27,150.40,161.10,182.80,141.21
Spot 14,161.06,140.74,164.55,181.30,175.60,138.29
Spot 15,155.50,153.20,165.50,154.90,169.49,154.80
Spot 16,116.70,163.70,168.00,164.04,174.30,153.01
Spot 17,,179.00,154.90,169.84,160.00,144.83
Spot 18,,177.40,147.33,188.64,153.52,147.13
Spot 19,,,134.01,168.60,150.00,136.00
Spot 20,,,136.00,163.90,158.20,140.60
